trait_type,phenocode,pheno_sex,coding,modifier,n_cases,n_controls,heritability,description
categorical,20002,both_sexes,1072,"",1769,393014,0.023084154985552382,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1074,"",12586,382197,0.04000209009322142,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1075,"",9234,385549,0.05951437206690773,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1076,"",253,394530,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1077,"",2169,392614,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1078,"",2675,392108,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1079,"",322,394461,0.04889827312096731,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1080,"",217,394566,0.0743655801826791,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1081,"",5232,389551,0.02343830436202755,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1082,"",1491,393292,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1086,"",366,394417,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1087,"",306,394477,0.07914268534918636,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1093,"",3265,391518,0.033135822262032204,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1094,"",7887,386896,0.020574415202907852,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1111,"",45848,348935,0.039730117343623556,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1112,"",1398,393385,0.03587178409063946,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1113,"",5472,389311,0.021784344285493782,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1114,"",947,393836,0.01941420995636239,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1117,"",668,394115,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1123,"",1287,393496,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1125,"",1344,393439,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1126,"",952,393831,0.05288556407242603,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1134,"",239,394544,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1135,"",872,393911,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1136,"",676,394107,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1137,"",470,394313,0.1481648054419412,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1138,"",16981,377802,0.010943673485586659,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1139,"",1238,393545,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1142,"",2762,392021,0.01991515119780228,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1143,"",606,394177,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1154,"",9445,385338,0.01296745727134105,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1155,"",419,394364,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1156,"",830,393953,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1157,"",402,394381,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1158,"",277,394506,0.2788223864970924,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1161,"",211,394572,0.08270521835157402,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1162,"",6557,388226,0.04920739685665342,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1163,"",397,394386,0.02205043908321193,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1165,"",849,393934,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1190,"",1331,393452,0.08510927198617681,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1192,"",174,394609,0.14017967026121927,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1193,"",202,394581,0.12736008380979225,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1194,"",292,394491,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1196,"",1843,392940,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1197,"",3045,391738,0.07572713760105224,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1200,"",269,394514,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1201,"",2355,392428,0.024870674412444206,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1202,"",1400,393383,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1220,"",15514,379269,0.06456032212049138,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1222,"",332,394451,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1223,"",2503,392280,0.054837726412691606,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1224,"",1014,393769,0.021023339826060125,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1225,"",3019,391764,0.13437908797889606,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1226,"",19312,375471,0.08913460331051659,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1238,"",256,394527,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1242,"",3122,391661,0.012382339950594642,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1243,"",374,394409,0.0341165187700981,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1246,"",246,394537,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1247,"",1664,393119,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1249,"",232,394551,0.012221302893781115,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1250,"",378,394405,0.1074699449150264,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1251,"",388,394395,0.12668659327383977,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1254,"",201,394582,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1255,"",543,394240,0.038747788978488025,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1257,"",1155,393628,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1261,"",1438,393345,0.219967797506871,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1262,"",709,394074,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1264,"",3255,391528,0.0213329790876247,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1265,"",11717,383066,0.03398208456904633,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1266,"",1321,393462,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1267,"",628,394155,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1274,"",371,394412,0.12932025865104388,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1275,"",648,394135,0.06503754374562495,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1276,"",750,394033,0.04359300481201615,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1277,"",4063,390720,0.07461318827125052,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1278,"",5494,389289,0.019896858488142224,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1279,"",550,394233,0.06039393006278442,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1281,"",1346,393437,0.08352229517102604,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1282,"",181,394602,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1286,"",22602,372181,0.013061218370140034,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1287,"",5473,389310,0.014660781968755315,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1288,"",594,394189,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1289,"",424,394359,0.2893848766634285,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1290,"",181,394602,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1291,"",1099,393684,0.05207948624829311,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1293,"",884,393899,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1294,"",6938,387845,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1295,"",1913,392870,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1297,"",3105,391678,0.030039037625642914,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1308,"",623,394160,0.03312900253873183,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1309,"",6382,388401,0.04518978628960169,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1311,"",3497,391286,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1312,"",6569,388214,0.026880789210086804,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1313,"",1103,393680,0.20621069558188623,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1327,"",330,394453,0.15243596702649184,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1330,"",2160,392623,0.04833140013576235,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1331,"",1203,393580,0.13300815237396946,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1371,"",774,394009,0.16160625926397046,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1374,"",2820,391963,0.018228667215962963,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1377,"",823,393960,0.14148354595928678,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1381,"",441,394342,0.22424659356175383,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1382,"",338,213250,0.16471099503509287,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1385,"",1746,393037,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1386,"",3466,391317,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1387,"",22448,372335,0.02783732731411698,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1394,"",233,394550,0.029640852436938925,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1398,"",5637,389146,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1400,"",382,394401,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1405,"",1677,393106,0.05511912126768036,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1406,"",2843,391940,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1407,"",351,394432,0.07737214884093609,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1408,"",586,394197,0.04177199789182315,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1412,"",2945,391838,0.019243789459316655,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1413,"",1506,393277,0.02046629540841675,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1414,"",359,394424,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1415,"",3467,391316,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1416,"",2456,392327,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1417,"",1751,393032,0.049709850436807076,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1420,"",185,394598,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1421,"",1145,393638,0.04382716820974538,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1425,"",272,394511,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1427,"",268,394515,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1428,"",191,394592,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1434,"",1630,393153,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1436,"",3318,391465,0.018614663866133606,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1439,"",278,394505,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1440,"",1915,392868,0.020516570174252017,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1441,"",464,394319,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1442,"",1057,393726,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1445,"",366,394417,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1446,"",653,394130,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1451,"",341,394442,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1452,"",10139,384644,0.04697923131447243,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1453,"",4523,390260,0.20324524516965775,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1454,"",613,394170,0.05029282127263968,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1456,"",1725,393058,0.3609781179134936,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1457,"",1599,393184,0.02030013820663603,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1458,"",4456,390327,0.04292415747071664,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1459,"",1015,393768,0.01554007148092679,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1460,"",1185,393598,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1462,"",1179,393604,0.1287324738536228,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1463,"",2062,392721,0.08673946590915405,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1464,"",4446,390337,0.08407299645311513,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1465,"",33285,361498,0.015809829947426794,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1466,"",5204,175991,0.08226604049258297,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1467,"",2460,392323,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1469,"",268,394515,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1470,"",285,213303,0.06458569616385747,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1471,"",3075,391708,0.08879477503613352,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1473,"",48438,346345,0.03692022102657224,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1474,"",9226,385557,0.026979293035113167,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1476,"",3728,391055,0.014790430111563875,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1477,"",760,394023,0.32846473657216074,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1478,"",2858,391925,0.0185960327422316,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1479,"",1188,393595,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1482,"",1764,393019,0.02444628618269092,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1485,"",600,394183,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1487,"",194,394589,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1494,"",1445,393338,0.09715840393328322,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1495,"",190,394593,0.1698559466388396,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1497,"",167,394616,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1499,"",188,394595,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1500,"",453,394330,0.03961610972971163,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1502,"",3384,391399,0.014048327578542597,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1504,"",193,394590,0.03033158889513999,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1505,"",1031,393752,0.036652338301013596,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1508,"",347,394436,0.08563229980658965,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1510,"",514,394269,0.13949398263762666,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1511,"",259,394524,0.023087714401951634,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1512,"",331,394452,0.01636260287331594,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1513,"",1496,179699,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1514,"",305,213283,0.23629281392549145,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1523,"",169,394614,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1526,"",269,394514,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1528,"",234,394549,0.04024613470438979,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1529,"",584,394199,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1530,"",179,394604,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1532,"",344,394439,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1533,"",701,394082,0.040949064313607945,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1534,"",2077,392706,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1535,"",260,394523,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1537,"",1324,393459,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1538,"",3098,391685,0.023608275927849975,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1541,"",659,394124,0.09813296078789915,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1542,"",588,394195,0.1425027311856875,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1544,"",275,394508,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1545,"",347,394436,0.04815049916164417,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1548,"",235,394548,0.16667200145895109,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1561,"",418,394365,0.01926205100510344,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1563,"",226,394557,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1567,"",494,394289,0.07125100239016897,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1568,"",1335,393448,0.05519846571289986,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1569,"",849,393934,0.018623715690480484,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1570,"",478,394305,0.0322103882802934,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1571,"",1543,393240,0.0507526083031018,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1572,"",418,394365,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1573,"",341,394442,0.02509734708938446,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1597,"",672,394111,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1598,"",2791,391992,0.013275240194158235,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1599,"",301,394482,0.09398869809766469,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1610,"",376,394407,0.16913238267176034,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1614,"",450,394333,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1616,"",377,394406,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1617,"",900,212688,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1619,"",221,394562,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1623,"",223,394560,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1625,"",255,394528,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1626,"",271,394512,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1627,"",170,394613,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1628,"",513,394270,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1631,"",429,394354,0.026967600256800804,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1632,"",217,394566,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1633,"",816,393967,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1634,"",842,393941,0.11030980694867536,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1635,"",185,394598,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1637,"",903,393880,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1638,"",200,394583,0.02216484769100822,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1639,"",407,394376,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1644,"",378,394405,0.11643424761791701,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1646,"",281,394502,0.10205026426335516,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1648,"",256,394527,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1649,"",232,394551,0.1403336415986845,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1650,"",251,394532,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1651,"",1592,393191,0.014947017578585542,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1652,"",468,394315,0.04102868185928935,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1653,"",408,394375,0.04856734912672264,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1654,"",243,394540,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1656,"",268,394515,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1657,"",234,394549,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1660,"",640,394143,0.0845450418700061,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1668,"",213,394570,0.0,"Non-cancer illness code, self-reported"
categorical,20002,both_sexes,1677,"",476,394307,0.04908097892804559,"Non-cancer illness code, self-reported"
categorical,20003,both_sexes,1140851088,"",163,394620,0.12347185133855253,Treatment/medication code
categorical,20003,both_sexes,1140851812,"",956,393827,0.03379648120449659,Treatment/medication code
categorical,20003,both_sexes,1140852948,"",1691,393092,0.011612626135474126,Treatment/medication code
categorical,20003,both_sexes,1140852976,"",12196,382587,0.0,Treatment/medication code
categorical,20003,both_sexes,1140856342,"",275,213313,0.08799284099317553,Treatment/medication code
categorical,20003,both_sexes,1140858452,"",170,394613,0.0,Treatment/medication code
categorical,20003,both_sexes,1140860696,"",11069,383714,0.0299715139243195,Treatment/medication code
categorical,20003,both_sexes,1140860728,"",170,394613,0.0,Treatment/medication code
categorical,20003,both_sexes,1140860750,"",173,394610,0.0,Treatment/medication code
categorical,20003,both_sexes,1140860806,"",18433,376350,0.018080609445375217,Treatment/medication code
categorical,20003,both_sexes,1140860834,"",1213,393570,0.07424956758772575,Treatment/medication code
categorical,20003,both_sexes,1140860840,"",418,394365,0.047355068853160966,Treatment/medication code
categorical,20003,both_sexes,1140860904,"",221,394562,0.0,Treatment/medication code
categorical,20003,both_sexes,1140860954,"",1294,393489,0.04876709732067191,Treatment/medication code
categorical,20003,both_sexes,1140861088,"",872,393911,0.02663337825552549,Treatment/medication code
categorical,20003,both_sexes,1140861090,"",906,393877,0.0,Treatment/medication code
categorical,20003,both_sexes,1140861120,"",344,394439,0.0,Treatment/medication code
categorical,20003,both_sexes,1140861128,"",762,394021,0.0,Treatment/medication code
categorical,20003,both_sexes,1140861138,"",357,394426,0.0,Treatment/medication code
categorical,20003,both_sexes,1140861166,"",168,394615,0.0,Treatment/medication code
categorical,20003,both_sexes,1140861276,"",413,394370,0.0,Treatment/medication code
categorical,20003,both_sexes,1140861778,"",738,394045,0.022493239992548663,Treatment/medication code
categorical,20003,both_sexes,1140861780,"",233,394550,0.0,Treatment/medication code
categorical,20003,both_sexes,1140861806,"",2300,392483,0.019769862273373295,Treatment/medication code
categorical,20003,both_sexes,1140861924,"",356,394427,0.14147447238563596,Treatment/medication code
categorical,20003,both_sexes,1140861954,"",525,394258,0.1527714920879701,Treatment/medication code
categorical,20003,both_sexes,1140861958,"",45015,349768,0.02133930536654582,Treatment/medication code
categorical,20003,both_sexes,1140861998,"",11386,383397,0.046466450920108496,Treatment/medication code
categorical,20003,both_sexes,1140862086,"",1214,393569,0.015534347569277678,Treatment/medication code
categorical,20003,both_sexes,1140862144,"",1040,393743,0.06982611741959746,Treatment/medication code
categorical,20003,both_sexes,1140862148,"",1055,393728,0.06585476758171648,Treatment/medication code
categorical,20003,both_sexes,1140862168,"",895,393888,0.0,Treatment/medication code
categorical,20003,both_sexes,1140862236,"",411,394372,0.1165972432140164,Treatment/medication code
categorical,20003,both_sexes,1140862380,"",222,394561,0.07673845750212105,Treatment/medication code
categorical,20003,both_sexes,1140862382,"",2414,392369,0.06621247514333205,Treatment/medication code
categorical,20003,both_sexes,1140862438,"",185,394598,0.0,Treatment/medication code
categorical,20003,both_sexes,1140862476,"",1118,393665,0.046633239658721945,Treatment/medication code
categorical,20003,both_sexes,1140862572,"",808,393975,0.0,Treatment/medication code
categorical,20003,both_sexes,1140862574,"",586,394197,0.07097367855841831,Treatment/medication code
categorical,20003,both_sexes,1140862628,"",598,394185,0.0,Treatment/medication code
categorical,20003,both_sexes,1140862772,"",2840,391943,0.0,Treatment/medication code
categorical,20003,both_sexes,1140862776,"",331,394452,0.0,Treatment/medication code
categorical,20003,both_sexes,1140862944,"",202,394581,0.0,Treatment/medication code
